Name,Cosmic Id, Tissue, Tissue sub-type,,
1287381,201T,1287381,LUAD,lung,lung_NSCLC_adenocarcinoma
924100,22RV1,924100,PRAD,urogenital_system,prostate
910924,23132-87,910924,STAD,digestive_system,stomach
687561,42-MG-BA,687561,GBM,nervous_system,glioma
1287706,451Lu,1287706,SKCM,skin,melanoma
687452,5637,687452,BLCA,urogenital_system,bladder
906798,639-V,906798,BLCA,urogenital_system,bladder
906797,647-V,906797,BLCA,urogenital_system,bladder
906800,697,906800,UNCLASSIFIED,blood,lymphoblastic_leukemia
910922,769-P,910922,KIRC,kidney,kidney
905947,786-0,905947,KIRC,kidney,kidney
687562,8-MG-BA,687562,GBM,nervous_system,glioma
906795,8305C,906795,THCA,thyroid,thyroid
924102,8505C,924102,THCA,thyroid,thyroid
910921,A101D,910921,SKCM,skin,melanoma
687563,A172,687563,GBM,nervous_system,glioma
910784,A204,910784,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
906792,A2058,906792,SKCM,skin,melanoma
906794,A253,906794,UNCLASSIFIED,aero_digestive_tract,head_and_neck
906804,A2780,906804,UNCLASSIFIED,urogenital_system,ovary
910935,A3-KAW,910935,DLBC,blood,B_cell_lymphoma
906793,A375,906793,SKCM,skin,melanoma
910697,A388,910697,UNCLASSIFIED,skin,skin_other
910934,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma
910851,A427,910851,UNCLASSIFIED,lung,lung_NSCLC_not_specified
910925,A431,910925,UNCLASSIFIED,skin,skin_other
905948,A498,905948,KIRC,kidney,kidney
905949,A549,905949,LUAD,lung,lung_NSCLC_adenocarcinoma
684052,A673,684052,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
910920,A704,910920,KIRC,kidney,kidney
906791,ABC-1,906791,LUAD,lung,lung_NSCLC_adenocarcinoma
905950,ACHN,905950,KIRC,kidney,kidney
906803,ACN,906803,UNCLASSIFIED,nervous_system,neuroblastoma
906790,AGS,906790,STAD,digestive_system,stomach
910944,ALL-PO,910944,ALL,blood,lymphoblastic_leukemia
1295740,ALL-SIL,1295740,ALL,blood,T_cell_leukemia
910933,AM-38,910933,GBM,nervous_system,glioma
1295741,AMO-1,1295741,MM,blood,haematopoietic_neoplasm_other
910781,AN3-CA,910781,UCEC,urogenital_system,endometrium
906765,ARH-77,906765,MM,blood,myeloma
1290722,ASH-3,1290722,THCA,thyroid,thyroid
910687,ATN-1,910687,ALL,blood,lymphoblastic_T_cell_leukaemia
910704,AU565,910704,BRCA,breast,breast
910702,AsPC-1,910702,PAAD,pancreas,pancreas
910705,BALL-1,910705,UNCLASSIFIED,blood,B_cell_leukemia
753531,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck
753532,BB49-HNC,753532,HNSC,aero_digestive_tract,head_and_neck
753533,BB65-RCC,753533,KIRC,kidney,kidney
910919,BC-1,910919,DLBC,blood,B_cell_lymphoma
1295743,BC-2,1295743,UNCLASSIFIED,blood,B_cell_lymphoma
910918,BC-3,910918,DLBC,blood,B_cell_lymphoma
924104,BCPAP,924104,THCA,thyroid,thyroid
906763,BE-13,906763,ALL,blood,lymphoblastic_leukemia
753616,BE2-M17,753616,NB,nervous_system,neuroblastoma
753534,BEN,753534,UNCLASSIFIED,lung,lung_NSCLC_not_specified
910926,BFTC-905,910926,BLCA,urogenital_system,bladder
910698,BFTC-909,910698,KIRC,kidney,kidney
906696,BHT-101,906696,THCA,thyroid,thyroid
753535,BHY,753535,HNSC,aero_digestive_tract,head_and_neck
1290724,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck
1240121,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck
1290725,BICR31,1290725,HNSC,aero_digestive_tract,head_and_neck
1240122,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck
910706,BL-41,910706,UNCLASSIFIED,blood,Burkitt_lymphoma
910707,BL-70,910707,UNCLASSIFIED,blood,Burkitt_lymphoma
753536,BOKU,753536,UNCLASSIFIED,urogenital_system,cervix
924105,BPH-1,924105,UNCLASSIFIED,urogenital_system,prostate
906801,BT-20,906801,BRCA,breast,breast
946359,BT-474,946359,BRCA,breast,breast
949093,BT-483,949093,BRCA,breast,breast
905951,BT-549,905951,BRCA,breast,breast
910710,BV-173,910710,LCML,blood,chronic_myeloid_leukaemia
906746,Becker,906746,GBM,nervous_system,glioma
906693,BxPC-3,906693,PAAD,pancreas,pancreas
687505,C-33-A,687505,CESC,urogenital_system,cervix
687506,C-4-I,687506,CESC,urogenital_system,cervix
910700,C2BBe1,910700,COREAD,digestive_system,large_intestine
906830,C32,906830,SKCM,skin,melanoma
910850,C3A,910850,LIHC,digestive_system,liver
910703,CA46,910703,UNCLASSIFIED,blood,Burkitt_lymphoma
753539,CADO-ES1,753539,UNCLASSIFIED,bone,ewings_sarcoma
905963,CAKI-1,905963,KIRC,kidney,kidney
906826,CAL-120,906826,BRCA,breast,breast
753540,CAL-12T,753540,UNCLASSIFIED,lung,lung_NSCLC_not_specified
924106,CAL-148,924106,BRCA,breast,breast
910916,CAL-27,910916,HNSC,aero_digestive_tract,head_and_neck
1290730,CAL-29,1290730,BLCA,urogenital_system,bladder
753541,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck
924107,CAL-39,924107,CESC,urogenital_system,cervix
910927,CAL-51,910927,BRCA,breast,breast
910952,CAL-54,910952,KIRC,kidney,kidney
906828,CAL-62,906828,THCA,thyroid,thyroid
906827,CAL-72,906827,UNCLASSIFIED,bone,osteosarcoma
1290765,CAL-78,1290765,UNCLASSIFIED,bone,chondrosarcoma
910852,CAL-85-1,910852,BRCA,breast,breast
946382,CAMA-1,946382,BRCA,breast,breast
753624,CAPAN-1,753624,PAAD,pancreas,pancreas
910943,CAS-1,910943,GBM,nervous_system,glioma
906823,CCF-STTG1,906823,GBM,nervous_system,glioma
1240123,CCK-81,1240123,COREAD,digestive_system,large_intestine
905952,CCRF-CEM,905952,ALL,blood,lymphoblastic_leukemia
910688,CESS,910688,LAML,blood,acute_myeloid_leukaemia
906821,CFPAC-1,906821,PAAD,pancreas,pancreas
910568,CGTH-W-1,910568,THCA,thyroid,thyroid
910853,CHL-1,910853,SKCM,skin,melanoma
910567,CHP-126,910567,NB,nervous_system,neuroblastoma
910941,CHP-134,910941,NB,nervous_system,neuroblastoma
906820,CHP-212,906820,NB,nervous_system,neuroblastoma
1290767,CHSA0011,1290767,UNCLASSIFIED,bone,chondrosarcoma
1290768,CHSA0108,1290768,UNCLASSIFIED,bone,chondrosarcoma
1303912,CHSA8926,1303912,UNCLASSIFIED,bone,chondrosarcoma
1290769,CL-11,1290769,COREAD,digestive_system,large_intestine
1290771,CL-34,1290771,COREAD,digestive_system,large_intestine
1240124,CL-40,1240124,COREAD,digestive_system,large_intestine
910566,CMK,910566,LAML,blood,acute_myeloid_leukaemia
910951,CML-T1,910951,LCML,blood,chronic_myeloid_leukaemia
905961,COLO-205,905961,COREAD,digestive_system,large_intestine
910569,COLO-320-HSR,910569,COREAD,digestive_system,large_intestine
910692,COLO-668,910692,SCLC,lung,lung_small_cell_carcinoma
910689,COLO-678,910689,COREAD,digestive_system,large_intestine
906818,COLO-679,906818,SKCM,skin,melanoma
906817,COLO-680N,906817,ESCA,aero_digestive_tract,oesophagus
910691,COLO-684,910691,UCEC,urogenital_system,endometrium
906815,COLO-741,906815,UNCLASSIFIED,digestive_system,large_intestine
1240125,COLO-783,1240125,SKCM,skin,melanoma
906814,COLO-792,906814,SKCM,skin,melanoma
906813,COLO-800,906813,SKCM,skin,melanoma
906812,COLO-824,906812,BRCA,breast,breast
687448,COLO-829,687448,SKCM,skin,melanoma
906805,COR-L105,906805,LUAD,lung,lung_NSCLC_adenocarcinoma
687780,COR-L23,687780,UNCLASSIFIED,lung,lung_NSCLC_large_cell
910937,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma
1297438,COR-L303,1297438,SCLC,lung,lung_small_cell_carcinoma
687980,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma
1322212,COR-L32,1322212,SCLC,lung,lung_small_cell_carcinoma
1322213,COR-L321,1322213,UNCLASSIFIED,lung,lung_other
906808,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma
1297439,COR-L95,1297439,SCLC,lung,lung_small_cell_carcinoma
753545,CP50-MEL-B,753545,SKCM,skin,melanoma
753546,CP66-MEL,753546,SKCM,skin,melanoma
949092,CP67-MEL,949092,SKCM,skin,melanoma
753547,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma
906807,CRO-AP2,906807,DLBC,blood,B_cell_lymphoma
1297440,CRO-AP3,1297440,UNCLASSIFIED,blood,B_cell_lymphoma
1290795,CS1,1290795,UNCLASSIFIED,bone,bone_other
949088,CTB-1,949088,DLBC,blood,B_cell_lymphoma
753548,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia
910554,CW-2,910554,COREAD,digestive_system,large_intestine
906824,Ca-Ski,906824,CESC,urogenital_system,cervix
753538,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck
924108,CaR-1,924108,COREAD,digestive_system,large_intestine
724858,Calu-1,724858,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma
687777,Calu-3,687777,LUAD,lung,lung_NSCLC_adenocarcinoma
724859,Calu-6,724859,LUAD,lung,lung_NSCLC_adenocarcinoma
906825,Caov-3,906825,OV,urogenital_system,ovary
949090,Caov-4,949090,OV,urogenital_system,ovary
910915,Capan-2,910915,PAAD,pancreas,pancreas
687596,ChaGo-K-1,687596,UNCLASSIFIED,lung,lung_NSCLC_not_specified
946367,D-247MG,946367,GBM,nervous_system,glioma
946368,D-263MG,946368,GBM,nervous_system,glioma
906834,D-283MED,906834,MB,nervous_system,medulloblastoma
946369,D-336MG,946369,LGG,nervous_system,glioma
946370,D-392MG,946370,GBM,nervous_system,glioma
946372,D-423MG,946372,GBM,nervous_system,glioma
946373,D-502MG,946373,LGG,nervous_system,glioma
753549,D-542MG,753549,GBM,nervous_system,glioma
946377,D-566MG,946377,GBM,nervous_system,glioma
1290797,DAN-G,1290797,PAAD,pancreas,pancreas
906832,DB,906832,DLBC,blood,B_cell_lymphoma
906835,DBTRG-05MG,906835,GBM,nervous_system,glioma
906836,DEL,906836,UNCLASSIFIED,blood,lymphoid_neoplasm_other
906838,DG-75,906838,UNCLASSIFIED,blood,Burkitt_lymphoma
1789883,DIFI,1789883,COREAD,digestive_system,large_intestine
906841,DJM-1,906841,UNCLASSIFIED,skin,skin_other
906839,DK-MG,906839,GBM,nervous_system,glioma
687983,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma
687984,DMS-153,687984,UNCLASSIFIED,lung,lung_small_cell_carcinoma
687985,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma
907295,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma
753551,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma
1297446,DND-41,1297446,ALL,blood,T_cell_leukemia
906842,DOHH-2,906842,DLBC,blood,B_cell_lymphoma
910936,DOK,910936,HNSC,aero_digestive_tract,head_and_neck
1479987,DOV13,1479987,OV,urogenital_system,ovary
753552,DSH1,753552,BLCA,urogenital_system,bladder
905935,DU-145,905935,PRAD,urogenital_system,prostate
906844,DU-4475,906844,BRCA,breast,breast
753553,DV-90,753553,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma
906833,Daoy,906833,MB,nervous_system,medulloblastoma
906831,Daudi,906831,UNCLASSIFIED,blood,Burkitt_lymphoma
906837,Detroit562,906837,HNSC,aero_digestive_tract,head_and_neck
906843,DoTc2-4510,906843,CESC,urogenital_system,cervix
906847,EB-3,906847,UNCLASSIFIED,blood,Burkitt_lymphoma
906846,EB2,906846,UNCLASSIFIED,blood,Burkitt_lymphoma
753554,EBC-1,753554,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
753555,EC-GI-10,753555,ESCA,aero_digestive_tract,oesophagus
906848,ECC10,906848,UNCLASSIFIED,digestive_system,stomach
906849,ECC12,906849,UNCLASSIFIED,digestive_system,stomach
906850,ECC4,906850,UNCLASSIFIED,digestive_system,digestive_system_other
924109,EFE-184,924109,UNCLASSIFIED,urogenital_system,endometrium
906851,EFM-19,906851,BRCA,breast,breast
1290798,EFM-192A,1290798,BRCA,breast,breast
911905,EFO-21,911905,OV,urogenital_system,ovary
906852,EFO-27,906852,UNCLASSIFIED,urogenital_system,ovary
906853,EGI-1,906853,UNCLASSIFIED,digestive_system,biliary_tract
906854,EHEB,906854,CLL,blood,lymphoid_neoplasm_other
1297447,EJM,1297447,MM,blood,lymphoid_neoplasm_other
905970,EKVX,905970,LUAD,lung,lung_NSCLC_adenocarcinoma
906855,EM-2,906855,LCML,blood,chronic_myeloid_leukaemia
1503369,EMC-BAC-1,1503369,LUAD,lung,lung_NSCLC_adenocarcinoma
1503370,EMC-BAC-2,1503370,LUAD,lung,lung_NSCLC_adenocarcinoma
1240127,EN,1240127,UCEC,urogenital_system,endometrium
753556,EPLC-272H,753556,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
1240128,ES-2,1240128,UNCLASSIFIED,urogenital_system,ovary
949158,ES1,949158,UNCLASSIFIED,bone,ewings_sarcoma
684055,ES3,684055,UNCLASSIFIED,bone,ewings_sarcoma
949156,ES4,949156,UNCLASSIFIED,bone,ewings_sarcoma
684057,ES5,684057,UNCLASSIFIED,bone,ewings_sarcoma
949157,ES6,949157,UNCLASSIFIED,bone,ewings_sarcoma
684059,ES7,684059,UNCLASSIFIED,bone,ewings_sarcoma
949155,ES8,949155,UNCLASSIFIED,bone,ewings_sarcoma
1503366,ESO26,1503366,ESCA,aero_digestive_tract,oesophagus
1503367,ESO51,1503367,ESCA,aero_digestive_tract,oesophagus
907000,ESS-1,907000,UNCLASSIFIED,urogenital_system,endometrium
906861,ETK-1,906861,UNCLASSIFIED,digestive_system,biliary_tract
906862,EVSA-T,906862,BRCA,breast,breast
949163,EW-1,949163,UNCLASSIFIED,bone,ewings_sarcoma
684062,EW-11,684062,UNCLASSIFIED,bone,ewings_sarcoma
949162,EW-12,949162,UNCLASSIFIED,bone,ewings_sarcoma
949166,EW-13,949166,UNCLASSIFIED,bone,ewings_sarcoma
949165,EW-16,949165,UNCLASSIFIED,bone,ewings_sarcoma
949164,EW-18,949164,UNCLASSIFIED,bone,ewings_sarcoma
949167,EW-22,949167,UNCLASSIFIED,bone,ewings_sarcoma
949168,EW-24,949168,UNCLASSIFIED,bone,ewings_sarcoma
949161,EW-3,949161,UNCLASSIFIED,bone,ewings_sarcoma
949160,EW-7,949160,UNCLASSIFIED,bone,ewings_sarcoma
1290801,EW7476,1290801,UNCLASSIFIED,bone,osteosarcoma
906856,EoL-1-cell,906856,UNCLASSIFIED,blood,haematopoietic_neoplasm_other
906863,FADU,906863,HNSC,aero_digestive_tract,head_and_neck
1503361,FLO-1,1503361,ESCA,aero_digestive_tract,oesophagus
906864,FTC-133,906864,THCA,thyroid,thyroid
1240129,FU-OV-1,1240129,OV,urogenital_system,ovary
1290806,FU97,1290806,STAD,digestive_system,stomach
1297449,Farage,1297449,DLBC,blood,B_cell_lymphoma
1290807,G-292-Clone-A141B1,1290807,UNCLASSIFIED,bone,osteosarcoma
906865,G-361,906865,SKCM,skin,melanoma
907299,G-401,907299,UNCLASSIFIED,kidney,kidney
907298,G-402,907298,UNCLASSIFIED,soft_tissue,soft_tissue_other
1240130,G-MEL,1240130,SKCM,skin,melanoma
1303896,GA-10,1303896,UNCLASSIFIED,blood,Burkitt_lymphoma
910932,GAK,910932,SKCM,skin,melanoma
906868,GAMG,906868,LGG,nervous_system,glioma
687568,GB-1,687568,GBM,nervous_system,glioma
906869,GCIY,906869,STAD,digestive_system,stomach
906999,GCT,906999,UNCLASSIFIED,soft_tissue,soft_tissue_other
906870,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia
906871,GI-1,906871,LGG,nervous_system,glioma
906872,GI-ME-N,906872,NB,nervous_system,neuroblastoma
906873,GMS-10,906873,GBM,nervous_system,glioma
906875,GOTO,906875,NB,nervous_system,neuroblastoma
907291,GP5d,907291,COREAD,digestive_system,large_intestine
906877,GR-ST,906877,ALL,blood,lymphoblastic_leukemia
1303897,GRANTA-519,1303897,DLBC,blood,B_cell_lymphoma
907041,GT3TKB,907041,STAD,digestive_system,stomach
907290,H-EMC-SS,907290,UNCLASSIFIED,bone,chondrosarcoma
1290808,H2369,1290808,MESO,lung,mesothelioma
1290809,H2373,1290809,MESO,lung,mesothelioma
1290810,H2461,1290810,MESO,lung,mesothelioma
1240131,H2591,1240131,MESO,lung,mesothelioma
1240132,H2595,1240132,MESO,lung,mesothelioma
1240133,H2596,1240133,UNCLASSIFIED,lung,mesothelioma
1290812,H2722,1290812,MESO,lung,mesothelioma
1240134,H2731,1240134,MESO,lung,mesothelioma
1290813,H2795,1290813,MESO,lung,mesothelioma
1240135,H2803,1240135,MESO,lung,mesothelioma
1240136,H2804,1240136,MESO,lung,mesothelioma
1240137,H2810,1240137,MESO,lung,mesothelioma
1290814,H2818,1290814,MESO,lung,mesothelioma
1240138,H2869,1240138,MESO,lung,mesothelioma
1240139,H290,1240139,MESO,lung,mesothelioma
1240140,H3118,1240140,UNCLASSIFIED,aero_digestive_tract,head_and_neck
1247873,H3255,1247873,LUAD,lung,lung_NSCLC_adenocarcinoma
907042,H4,907042,LGG,nervous_system,glioma
1240141,H513,1240141,MESO,lung,mesothelioma
907043,H9,907043,UNCLASSIFIED,blood,lymphoid_neoplasm_other
753558,HA7-RCC,753558,KIRC,kidney,kidney
949153,HAL-01,949153,ALL,blood,lymphoblastic_leukemia
1240142,HARA,1240142,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
907044,HC-1,907044,UNCLASSIFIED,blood,hairy_cell_leukaemia
1240143,HCC-15,1240143,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
1303901,HCC-33,1303901,SCLC,lung,lung_small_cell_carcinoma
1240144,HCC-366,1240144,UNCLASSIFIED,lung,lung_NSCLC_not_specified
1240145,HCC-44,1240145,LUAD,lung,lung_NSCLC_adenocarcinoma
1290907,HCC-56,1290907,COREAD,digestive_system,large_intestine
1290908,HCC-78,1290908,LUAD,lung,lung_NSCLC_adenocarcinoma
1240146,HCC-827,1240146,LUAD,lung,lung_NSCLC_adenocarcinoma
749710,HCC1143,749710,BRCA,breast,breast
749711,HCC1187,749711,BRCA,breast,breast
749712,HCC1395,749712,BRCA,breast,breast
907045,HCC1419,907045,BRCA,breast,breast
1290905,HCC1428,1290905,BRCA,breast,breast
1303900,HCC1500,1303900,BRCA,breast,breast
907046,HCC1569,907046,BRCA,breast,breast
749713,HCC1599,749713,BRCA,breast,breast
907047,HCC1806,907047,UNCLASSIFIED,breast,breast
749714,HCC1937,749714,BRCA,breast,breast
749709,HCC1954,749709,BRCA,breast,breast
1290906,HCC202,1290906,BRCA,breast,breast
749715,HCC2157,749715,BRCA,breast,breast
749716,HCC2218,749716,BRCA,breast,breast
905971,HCC2998,905971,COREAD,digestive_system,large_intestine
749717,HCC38,749717,BRCA,breast,breast
907048,HCC70,907048,BRCA,breast,breast
753559,HCE-4,753559,ESCA,aero_digestive_tract,oesophagus
905936,HCT-116,905936,COREAD,digestive_system,large_intestine
905937,HCT-15,905937,COREAD,digestive_system,large_intestine
907050,HD-MY-Z,907050,UNCLASSIFIED,blood,Hodgkin_lymphoma
924110,HDLM-2,924110,UNCLASSIFIED,blood,Hodgkin_lymphoma
1290922,HDQ-P1,1290922,BRCA,breast,breast
907051,HEC-1,907051,UCEC,urogenital_system,endometrium
907053,HEL,907053,LAML,blood,acute_myeloid_leukaemia
907055,HGC-27,907055,STAD,digestive_system,stomach
907056,HH,907056,UNCLASSIFIED,blood,T_cell_leukemia
905938,HL-60,905938,LAML,blood,acute_myeloid_leukaemia
907057,HLE,907057,LIHC,digestive_system,liver
907058,HMV-II,907058,SKCM,skin,melanoma
907059,HN,907059,HNSC,aero_digestive_tract,head_and_neck
924111,HO-1-N-1,924111,HNSC,aero_digestive_tract,head_and_neck
753561,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck
905972,HOP-62,905972,LUAD,lung,lung_NSCLC_adenocarcinoma
905973,HOP-92,905973,UNCLASSIFIED,lung,lung_NSCLC_large_cell
907060,HOS,907060,UNCLASSIFIED,bone,osteosarcoma
1298136,HPAC,1298136,PAAD,pancreas,pancreas
724869,HPAF-II,724869,PAAD,pancreas,pancreas
753562,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck
907061,HSC-3,907061,HNSC,aero_digestive_tract,head_and_neck
1322224,HSC-39,1322224,STAD,digestive_system,stomach
907062,HSC-4,907062,HNSC,aero_digestive_tract,head_and_neck
907063,HT,907063,DLBC,blood,B_cell_lymphoma
907064,HT-1080,907064,UNCLASSIFIED,soft_tissue,fibrosarcoma
907289,HT-115,907289,COREAD,digestive_system,large_intestine
907065,HT-1197,907065,BLCA,urogenital_system,bladder
907066,HT-1376,907066,BLCA,urogenital_system,bladder
907067,HT-144,907067,SKCM,skin,melanoma
905939,HT-29,905939,COREAD,digestive_system,large_intestine
907068,HT-3,907068,CESC,urogenital_system,cervix
907287,HT55,907287,COREAD,digestive_system,large_intestine
924151,HTC-C3,924151,THCA,thyroid,thyroid
907070,HUH-6-clone5,907070,UNCLASSIFIED,digestive_system,liver
907073,HUTU-80,907073,UNCLASSIFIED,digestive_system,digestive_system_other
1298134,HeLa,1298134,CESC,urogenital_system,cervix
1240147,Hep3B2-1-7,1240147,LIHC,digestive_system,liver
1479988,Hey,1479988,OV,urogenital_system,ovary
1322218,Hs-445,1322218,UNCLASSIFIED,blood,Hodgkin_lymphoma
905957,Hs-578-T,905957,BRCA,breast,breast
1240149,Hs-633T,1240149,UNCLASSIFIED,soft_tissue,fibrosarcoma
1240150,Hs-683,1240150,LGG,nervous_system,glioma
1298141,Hs-766T,1298141,PAAD,pancreas,pancreas
1298144,Hs-939-T,1298144,SKCM,skin,melanoma
1298145,Hs-940-T,1298145,SKCM,skin,melanoma
1240151,Hs746T,1240151,STAD,digestive_system,stomach
907069,HuCCT1,907069,UNCLASSIFIED,digestive_system,biliary_tract
907071,HuH-7,907071,LIHC,digestive_system,liver
909977,HuO-3N1,909977,UNCLASSIFIED,bone,osteosarcoma
907072,HuO9,907072,UNCLASSIFIED,bone,osteosarcoma
907285,HuP-T3,907285,PAAD,pancreas,pancreas
907286,HuP-T4,907286,PAAD,pancreas,pancreas
910779,IA-LM,910779,UNCLASSIFIED,lung,lung_NSCLC_large_cell
907169,IGR-1,907169,SKCM,skin,melanoma
1240153,IGR-37,1240153,SKCM,skin,melanoma
905968,IGROV-1,905968,OV,urogenital_system,ovary
